model,price_band,number_of_homes,r2,mape,mdape
Random Forest,All homes,11898,0.8668625017838955,0.13147530884509273,0.08293283388426045
LightGBM,All homes,11898,0.8757985088744772,0.14701451224057507,0.10420578674325456
Random Forest,$500K or less,1635,,0.17171253613482484,0.08221642750555543
LightGBM,$500K or less,1635,,0.2101135351721654,0.12636221296247846
Random Forest,$500K-$750K,2527,,0.11131724358399098,0.06409693316545524
LightGBM,$500K-$750K,2527,,0.13558683601938706,0.09399276778515171
Random Forest,$750K-$1M,2371,,0.1070357684750598,0.067233940385839
LightGBM,$750K-$1M,2371,,0.12307470850982129,0.08561395293760322
Random Forest,$1M-$2M,3746,,0.12728551717813505,0.09323990301128651
LightGBM,$1M-$2M,3746,,0.13411278417451114,0.10568835274252222
Random Forest,Over $2M,1619,,0.1677894991464293,0.13391639806904077
LightGBM,Over $2M,1619,,0.16603982619912025,0.13989558492450055
