column,role,count,missing_count,missing_pct,zero_count,negative_count,mean,std,min,p0_1,p0_5,p1,p5,p25,median,p75,p95,p99,p99_5,p99_9,max
OriginalListPrice,possible_numeric_feature,181105,377,0.2077,2,0,1382962.1715512548,8268613.174688325,0.0,70000.0,190000.0,245000.0,379000.0,635000.0,899000.0,1449000.0,3250000.0,6954799.999999959,9837000.000000263,21995000.0,1390000000.0
ClosePrice,target,181482,0,0.0,1,0,1334045.9007810142,7535788.140539584,0.0,90000.0,188702.5,235981.0,368000.0,625000.0,890000.0,1425000.0,3198000.0,6415000.0,8843475.85500002,18000000.0,989500000.0
Latitude,possible_numeric_feature,181465,17,0.0094,22,2,34.72828527720156,1.7489789969651661,-22.8632391,32.572624694,32.6213903216,32.6715798768,32.847854352,33.759086,34.080488,34.752068,37.960539135999994,39.73207432,39.76690728,40.17768908000002,43.78444
Longitude,possible_numeric_feature,181465,17,0.0094,22,181429,-118.59535187134625,3.1982274618026296,-124.193201,-123.746566896,-122.62814304,-122.4468830532,-122.186623486,-119.132599,-118.023373,-117.257694,-116.5485918,-116.24130704,-116.18976659959999,-114.605492,329.0
LivingArea,possible_numeric_feature,181385,97,0.0534,82,0,2047.0520748683741,1044.8620531299316,0.0,442.76800000000003,640.9200000000001,736.0,966.0,1385.0,1816.0,2438.0,3828.0,5682.0,6783.159999999974,10243.008000000118,56500.0
ListPrice,possible_numeric_feature,181482,0,0.0,0,0,1267079.7886682425,1579316.572582916,8000.0,110000.0,199900.0,248500.0,374951.50000000006,625000.0,895000.0,1399988.0,3195000.0,6500000.0,8995000.0,18775950.000001468,137500000.0
DaysOnMarket,possible_numeric_feature,181482,0,0.0,7660,18,39.54646190806802,52.70970243695345,-265.0,0.0,0.0,0.0,1.0,8.0,19.0,51.0,141.0,246.0,297.0,436.0,2177.0
ParkingTotal,possible_numeric_feature,181481,1,0.0006,10713,29,3.081281236052259,45.98118891874292,-143.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,6.0,11.0,13.0,25.0,15720.0
LotSizeAcres,possible_numeric_feature,178313,3169,1.7462,365,0,12.690512270557953,742.4116705381547,0.0,0.0,0.03,0.0402,0.074,0.13,0.1671,0.24,1.16,6.172992000000016,11.523200000000068,123.91504000003158,127631.0
YearBuilt,possible_numeric_feature,181361,121,0.0667,0,0,1975.8623573976765,27.61558907515044,1776.0,1892.0,1906.0,1910.0,1926.0,1956.0,1976.0,1998.0,2022.0,2025.0,2025.0,2026.0,2026.0
BathroomsTotalInteger,possible_numeric_feature,181462,20,0.011,84,0,2.632942434228654,1.1408545372218613,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,6.0,7.0,10.0,45.0
BedroomsTotal,possible_numeric_feature,181482,0,0.0,112,0,3.4897510496908786,0.969926046786447,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,7.0,8.0,45.0
Stories,possible_numeric_feature,161920,19562,10.779,0,0,1.35117959486166,0.47734043848692936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
LotSizeArea,possible_numeric_feature,178328,3154,1.7379,97,0,19547.389457933696,557188.4859616673,0.0,0.07,0.15,0.23,2241.0,5430.0,7101.0,9994.0,40511.0,217800.0,352294.34499999206,1248201.7500000466,217800000.0
GarageSpaces,possible_numeric_feature,174375,7107,3.9161,14301,0,2.004151971326165,3.246940582908334,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,4.0,5.0,9.0,600.0
AssociationFee,possible_numeric_feature,128591,52891,29.1439,81981,0,106.09305884548687,337.9703058402156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,435.0,1056.0,1732.1750000000102,3924.6000000010827,20712.0
LotSizeSquareFeet,possible_numeric_feature,178313,3169,1.7462,97,0,335241.0026339639,16981602.71894044,0.0,0.14,1306.0,1750.0,3220.0,5663.0,7280.0,10454.0,50400.0,265716.0,490375.68000000046,4241294.323203559,2087220960.0
